City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Temperature,Wind speed,
302,umtata,20,ZA,1520586000,49,-31.59,28.78,68,8.05,
303,kashan,12,IR,1520589204,17,33.99,51.44,80.81,15.79,
304,conde,56,BR,1520589022,97,-11.81,-37.61,78.61,9.64,
306,yar-sale,44,RU,1520589054,99,66.83,70.83,-0.24,3.04,
309,hastings,88,NZ,1520589169,100,-39.64,176.84,60.79,21.27,
318,quatre cocos,75,MU,1520586000,66,-20.21,57.76,84.2,11.41,
323,alexandria,1,EG,1520588100,75,31.31,-92.44,42.8,4.7,
327,henties bay,0,NA,1520589210,94,-22.12,14.28,66.82,3.71,
330,chicama,75,PE,1520586000,93,-7.84,-79.15,64.4,3.36,
333,sur,0,OM,1520589204,77,22.57,59.53,80.77,2.93,
338,sobolevo,88,RU,1520589055,93,54.43,31.9,24.34,10.2,
339,san cristobal,75,EC,1520586000,93,-0.39,-78.55,51.8,10.29,
344,geraldton,90,AU,1520586000,84,49.72,-86.95,8.6,3.36,
347,airai,92,PW,1520589211,81,-8.93,125.41,75.64,1.59,
348,sebeta,24,ET,1520586000,30,8.91,38.62,71.6,5.82,
350,vila velha,20,BR,1520586000,94,-3.71,-38.6,78.8,2.24,
354,nhulunbuy,32,AU,1520586000,70,-12.18,136.78,86,12.75,
357,inhambane,75,MZ,1520586000,94,-23.87,35.38,75.2,5.82,
360,madang,92,PG,1520589189,100,-5.21,145.81,75.86,2.15,
362,sharkan,36,RU,1520589055,89,57.3,53.87,12.86,9.53,
364,arandis,0,NA,1520589210,90,-22.42,14.98,71.32,4.61,
368,hailey,40,US,1520588100,85,43.52,-114.32,32,4.7,
369,irbeyskoye,0,RU,1520589056,78,55.64,95.45,10.57,2.59,
371,kudahuvadhoo,12,MV,1520589109,100,2.67,72.89,83.65,14,
372,tuatapere,0,NZ,1520589169,100,-46.13,167.69,52.01,13.22,
373,sulangan,92,PH,1520589134,100,11.14,123.72,79.51,11.77,
374,kalmunai,48,LK,1520589213,88,7.42,81.82,82.79,6.06,
377,leningradskiy,36,RU,1520589056,74,69.38,178.42,-2.67,26.42,
378,russell,0,NZ,1520586000,63,-33.01,-68.8,64.4,3.36,
381,kavieng,68,PG,1520589189,100,-2.57,150.8,80.54,5.73,
382,ruteng,88,ID,1520589154,82,-8.61,120.46,79.01,3.94,
383,eydhafushi,0,MV,1520589110,100,5.1,73.07,84.01,11.43,
385,deputatskiy,8,RU,1520589057,48,69.3,139.9,-30.3,2.59,
387,upernavik,24,GL,1520589126,100,72.79,-56.15,-13.06,4.72,
388,karpathos,20,GR,1520587200,55,35.51,27.21,64.4,12.75,
390,winnemucca,1,US,1520585760,51,40.97,-117.74,39.2,4.7,
391,soyo,20,AO,1520589214,72,-6.13,12.37,85.54,3.83,
392,tymovskoye,92,RU,1520589057,80,50.85,142.66,21.28,10.31,
393,torbay,90,CA,1520586000,100,47.66,-52.73,28.4,10.29,
394,plettenberg bay,48,ZA,1520589083,100,-34.05,23.37,66.41,3.71,
401,boguchany,48,RU,1520589058,53,58.38,97.46,12.86,5.5,
410,narsaq,0,GL,1520585400,60,60.91,-46.05,8.6,3.36,
414,muzhi,0,RU,1520589058,75,65.4,64.7,-3.12,7.18,
426,san blas,0,MX,1520589147,73,21.54,-105.29,55.03,3.27,
427,leiyang,0,CN,1520589178,81,26.42,112.85,57.37,4.61,
429,sibolga,64,ID,1520589155,90,1.74,98.78,76,1.7,
430,loiza,1,US,1520585760,88,18.43,-65.88,75.2,9.86,
431,xining,64,CN,1520589179,19,36.62,101.77,48.14,4.83,
435,roebourne,0,AU,1520589037,9,-20.77,117.15,104.21,4.16,
440,knysna,40,ZA,1520586000,59,-34.04,23.05,66.2,4.7,
442,vardo,1,NO,1520588100,58,39.62,-77.74,32,17.22,
443,nishihara,90,JP,1520586360,61,35.74,139.53,53.6,13.87,
445,buala,92,SB,1520589136,100,-8.15,159.59,80.05,4.94,
446,burnie,0,AU,1520589037,98,-41.05,145.91,66.01,8.86,
447,nioki,48,CD,1520589201,91,-2.72,17.69,77.08,4.5,
452,batemans bay,0,AU,1520588967,95,-35.71,150.18,64.66,4.72,
453,severo-kurilsk,92,RU,1520589058,92,50.68,156.12,32.39,25.08,
455,verkhnevilyuysk,12,RU,1520589059,59,63.45,120.31,-6.63,5.73,
457,bilma,0,NE,1520589216,20,18.69,12.92,91.48,4.72,
462,turukhansk,8,RU,1520589059,69,65.8,87.96,1.79,7.4,
464,de aar,0,ZA,1520585400,28,-30.65,24.01,68,11.41,
465,aksaray,75,TR,1520587200,81,38.37,34.03,46.4,6.93,
466,byron bay,75,AU,1520586000,64,-28.65,153.62,73.4,14.99,
467,ilulissat,20,GL,1520585400,76,69.22,-51.1,-9.41,9.17,
469,mar del plata,68,AR,1520589086,61,-46.43,-67.52,52.06,22.5,
471,sao joao da barra,75,BR,1520586900,100,-21.64,-41.05,77,13.87,
475,lorengau,92,PG,1520589190,100,-2.02,147.27,83.11,9.08,
478,tayoltita,0,MX,1520589147,55,24.11,-105.93,61.87,2.15,
483,mach,0,PK,1520589217,46,29.87,67.33,64.48,2.82,
484,durango,1,US,1520585580,62,37.28,-107.88,28.4,2.37,
485,havoysund,0,NO,1520587200,66,71,24.66,14,11.41,
486,lerwick,40,GB,1520587200,93,60.15,-1.15,41,12.75,
487,lavrentiya,76,RU,1520589060,100,65.58,-170.99,8.36,31.9,
495,saint-augustin,0,CA,1520587800,66,44.83,-0.61,59,10.29,
496,bambous virieux,75,MU,1520586000,66,-20.34,57.76,84.2,11.41,
505,ulaanbaatar,40,MN,1520587800,52,47.92,106.92,32,8.95,
506,komsomolskiy,44,RU,1520589060,86,67.55,63.78,4.58,4.38,
507,southbridge,90,NZ,1520585760,63,42.08,-72.03,30.2,5.82,
512,ordynskoye,48,RU,1520589060,84,54.37,81.9,17.09,5.61,
519,san agustin,48,PH,1520589135,80,10.2,-63.54,68.71,4.16,
525,verkhnyaya inta,0,RU,1520589061,62,65.99,60.32,9.71,3.49,
528,jumla,68,NP,1520589218,57,29.28,82.18,39.55,2.15,
531,grand gaube,75,MU,1520586000,66,-20.01,57.66,84.2,11.41,
534,windsor,75,CA,1520588280,79,42.3,-83.03,30.2,13.87,
535,hualmay,20,PE,1520589207,88,-11.1,-77.61,65.06,2.37,
540,lebu,64,CL,1520586000,30,8.96,38.73,71.6,5.82,
541,ballina,0,AU,1520587800,69,54.11,-9.15,37.4,2.24,
